open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s
184.59,187.05,191.07,173.19,2462537.0,452822176.0,sz.300033,2015-01-05,7.7625,59.3396,396.5703,10.6354,56.9142,171.1762,0.0199,0.0471,-0.0272,-0.0131,-0.0069
184.18,205.76,205.76,182.54,3031473.0,597871552.0,sz.300033,2015-01-06,9.5559,65.2735,436.2273,11.699000000000002,62.6056,188.2939,0.086,0.0956,-0.0097,-0.0518,-0.0341
206.13,214.53,225.61,196.9,4563320.0,963403904.0,sz.300033,2015-01-07,14.3846,68.0583,454.8383,12.1981,65.2766,196.3271,0.0017,0.0356,-0.0339,-0.002,0.0003
209.16,213.18,225.61,206.95,3080361.0,668511808.0,sz.300033,2015-01-08,9.71,67.6289,451.9684,12.1211,64.8647,195.0883,-0.0128,-0.0171,0.0043,-0.005,0.0178
207.48,213.55,224.79,207.48,2851331.0,621647360.0,sz.300033,2015-01-09,8.988,67.74600000000001,452.7511,12.1421,64.9771,195.4262,0.0489,0.0177,0.0312,-0.0276,-0.0213
213.71,234.92,234.92,213.71,3542778.0,808855296.0,sz.300033,2015-01-12,11.0936,75.0231,498.061,13.3573,71.4798,214.9838,0.0722,0.0713,0.0009,-0.0471,-0.0251
237.92,244.68,253.09,228.48,3382156.0,822094720.0,sz.300033,2015-01-13,10.5906,78.1409,518.7592,13.9124,74.4503,223.918,-0.0144,-0.0303,0.0159,0.0021,0.0123
239.97,231.85,245.71,229.75,2253257.0,532255200.0,sz.300033,2015-01-14,7.0557,74.0407,491.5385,13.1823,70.5437,212.1684,-0.0725,-0.0371,-0.0353,0.0121,0.0603
230.0,236.03,243.33,226.06,2553992.0,598797888.0,sz.300033,2015-01-15,7.9974,75.3768,500.4091,13.4202,71.8168,215.9974,-0.0458,-0.033,-0.0128,0.0199,0.0259
230.0,259.62,259.62,229.92,4468562.0,1124533120.0,sz.300033,2015-01-16,13.9925,82.9093,550.4152,14.7613,78.9934,237.5821,0.1442,0.1923,-0.048,-0.0876,-0.0566
242.02,244.44,262.49,233.65,4113111.0,1028360384.0,sz.300033,2015-01-19,12.8795,78.0623,518.2374,13.8984,74.3754,223.6928,-0.1536,-0.1066,-0.047,0.0623,0.0913
244.56,257.28,263.23,239.6,3352392.0,854986944.0,sz.300033,2015-01-20,10.4974,82.1626,545.4581,14.6284,78.282,235.4424,0.0337,0.0486,-0.0148,-0.001,-0.0328
258.06,257.03,260.48,246.33,3034141.0,770572160.0,sz.300033,2015-01-21,9.5009,82.084,544.9363,14.6144,78.2071,235.2172,-0.0285,-0.0496,0.0211,-0.0001,0.0286
252.93,250.1,262.45,246.2,2533353.0,637299136.0,sz.300033,2015-01-22,7.9327,79.8701,530.2389,14.2202,76.0978,228.8731,-0.125,-0.1515,0.0265,0.0542,0.0708
253.3,236.48,255.06,233.81,2787919.0,670018560.0,sz.300033,2015-01-23,8.7299,75.5209,501.3658,13.4459,71.954,216.4103,-0.1106,-0.0563,-0.0542,0.0237,0.0868
237.22,248.99,252.27,237.22,2526547.0,620420480.0,sz.300033,2015-01-26,7.9114,79.5164,527.8907,14.1573,75.7608,227.8596,0.1128,0.1016,0.011200000000000002,-0.0666,-0.0462
247.76,246.45,252.48,240.05,1573192.0,387538816.0,sz.300033,2015-01-27,4.9262,78.7042,522.4988,14.0127,74.987,225.5322,-0.0732,-0.042800000000000005,-0.0304,0.0036,0.0696
246.16,237.3,246.16,237.3,1490173.0,357100416.0,sz.300033,2015-01-28,4.6662,75.7829,503.1051,13.4925,72.2037,217.1611,-0.1746,-0.1053,-0.0693,0.0458,0.1288
233.73,233.94,241.61,231.27,1505806.0,355108032.0,sz.300033,2015-01-29,4.7152,74.7088,495.9738,13.3013,71.1802,214.0829,-0.1352,-0.1541,0.0189,0.0674,0.0678
234.14,224.91,237.71,224.3,1275769.0,291824576.0,sz.300033,2015-01-30,3.9948,71.8268,476.841,12.7882,68.4344,205.8244,-0.1129,-0.039,-0.07400000000000001,0.037000000000000005,0.076
218.96,230.94,242.02,215.36,1522747.0,354140032.0,sz.300033,2015-02-02,4.7682,73.7525,489.6252,13.130999999999998,70.2691,211.3426,-0.033,-0.0237,-0.0093,0.0161,0.0169
230.78,254.04,254.04,230.37,3329532.0,824175296.0,sz.300033,2015-02-03,10.4258,81.1277,538.5877,14.4441,77.296,232.4768,0.2348,0.2527,-0.0179,-0.1461,-0.0886
254.04,262.24,270.73,250.22,4016985.0,1040893888.0,sz.300033,2015-02-04,12.5785,83.7477,555.9811,14.9106,79.7922,239.9846,-0.0528,-0.0506,-0.0022,0.0301,0.0227
258.38,268.11,283.94,253.71,3624834.0,981680192.0,sz.300033,2015-02-05,11.3505,85.62100000000002,568.4174,15.2441,81.577,245.3526,0.0077,0.0389,-0.0312,-0.0048,-0.0029
262.53,247.68,272.78,243.45,2356827.0,602820032.0,sz.300033,2015-02-06,7.38,79.0972,525.1078,14.0826,75.3614,226.6584,-0.1075,-0.0971,-0.0105,0.0363,0.0712
243.95,241.89,256.17,237.92,1865886.0,458177696.0,sz.300033,2015-02-09,5.8427,77.2501,512.8454,13.7538,73.6016,221.3654,-0.11900000000000001,-0.08310000000000001,-0.0359,0.0572,0.0618
239.56,266.1,266.1,235.29,2171381.0,549358656.0,sz.300033,2015-02-10,6.7993,84.9791,564.1561,15.1298,80.9655,243.5132,0.1468,0.1555,-0.0087,-0.08539999999999999,-0.0613
278.12,292.72,292.72,275.45,2334756.0,670770048.0,sz.300033,2015-02-11,7.3109,93.4809,620.5978,16.6435,89.0658,267.8758,0.1776,0.2799,-0.1023,-0.1164,-0.0611
322.01,322.01,322.01,307.32,6349706.0,2025715712.0,sz.300033,2015-02-12,19.883,102.8342,682.6923,18.3088,97.9773,294.6784,0.0708,0.1574,-0.0866,-0.0534,-0.0174
322.05,336.36,346.62,315.57,4769261.0,1553423360.0,sz.300033,2015-02-13,14.9341,107.4192,713.1308,19.1251,102.3457,307.8169,-0.0739,-0.0882,0.0143,0.0374,0.0365
344.53,346.21,354.0,324.47,4052683.0,1376377856.0,sz.300033,2015-02-16,12.6902,110.5632,734.0029,19.6849,105.3412,316.8262,-0.0584,-0.0537,-0.004699999999999999,0.0345,0.0239
348.67,376.6,380.17,324.59,3501878.0,1224977024.0,sz.300033,2015-02-17,10.9655,120.2702,798.4456,21.4131,114.5898,344.6423,0.0244,0.051100000000000007,-0.0267,-0.0245,0.0
367.13,347.4,369.18,342.8,2593032.0,919955456.0,sz.300033,2015-02-25,8.1196,110.9431,736.525,19.7525,105.7032,317.9148,-0.1568,-0.17679999999999998,0.02,0.0982,0.05860000000000001
339.24,344.57,356.3,324.06,2424158.0,826923776.0,sz.300033,2015-02-26,7.5908,110.0392,730.5243,19.5916,104.84200000000001,315.3246,-0.0825,-0.0482,-0.034300000000000004,0.0471,0.0354
342.52,352.81,360.89,331.03,2297446.0,796005184.0,sz.300033,2015-02-27,7.194,112.6723,748.0047,20.0604,107.3507,322.8699,0.0264,0.0852,-0.0587,-0.0295,0.0031
353.18,372.58,387.43,337.51,3712237.0,1346427904.0,sz.300033,2015-03-02,11.6242,118.9864,402.4433,20.4913,92.4177,340.9635,0.006,-0.0165,0.0225,-0.0191,0.0131
369.14,360.98,386.0,357.28,2890927.0,1065256000.0,sz.300033,2015-03-03,9.0524,115.2792,389.9044,19.8529,89.5382,330.3401,-0.0387,-0.0226,-0.0161,0.0124,0.0263
356.83,354.82,369.18,351.99,1846687.0,657968704.0,sz.300033,2015-03-04,5.7826,113.3142,383.2583,19.5145,88.012,324.7093,-0.1306,-0.076,-0.0545,0.0573,0.0732
352.48,350.15,360.89,339.69,2069535.0,727055872.0,sz.300033,2015-03-05,6.4804,111.8208,378.2072,19.2573,86.8521,320.4299,-0.0392,-0.0733,0.034,0.0119,0.0273
344.57,327.71,348.92,324.96,1911588.0,637642176.0,sz.300033,2015-03-06,5.9858,104.6551,353.9711,18.0232,81.2864,299.8963,-0.185,-0.069,-0.11599999999999999,0.0607,0.1244
325.45,347.23,352.77,319.46,2975588.0,1011242752.0,sz.300033,2015-03-09,9.3175,110.8907,375.0614,19.0971,86.1296,317.7646,0.0317,0.0347,-0.0031,-0.0195,-0.0122
342.11,343.83,352.77,337.96,1373042.0,474930592.0,sz.300033,2015-03-10,4.2994,109.8034,371.3839,18.9099,85.2851,314.6489,-0.0663,-0.0375,-0.0288,0.0354,0.031
345.8,340.84,349.41,336.36,1807523.0,621451264.0,sz.300033,2015-03-11,5.6599,108.8471,368.1495,18.7452,84.5424,311.9086,-0.0353,-0.0091,-0.0262,0.011000000000000001,0.0242
339.65,353.14,369.1,334.64,2864066.0,1006806336.0,sz.300033,2015-03-12,8.9683,112.7771,381.4417,19.422,87.5948,323.1702,0.0825,0.1313,-0.0488,-0.0584,-0.0242
344.53,354.0,364.59,344.53,1874090.0,664157952.0,sz.300033,2015-03-13,5.8684,113.0522,382.3721,19.4693,87.8085,323.9585,-0.0498,-0.0574,0.0076,0.0291,0.0207
356.38,377.22,386.9,355.23,3318894.0,1230055296.0,sz.300033,2015-03-16,10.3925,120.4667,407.4501,20.7462,93.5674,345.2054,0.04769999999999999,0.0331,0.0146,-0.0321,-0.0155
376.89,367.13,376.89,364.54,1948378.0,718628672.0,sz.300033,2015-03-17,6.101,117.2441,396.5505,20.1913,91.0644,335.9709,-0.0308,-0.0101,-0.0207,-0.0007000000000000001,0.0315
349.08,373.28,389.69,348.88,3023724.0,1091899136.0,sz.300033,2015-03-18,9.4682,119.2091,403.1966,20.5297,92.5906,341.6017,-0.0942,0.0229,-0.1172,0.0366,0.0576
368.73,396.87,406.1,363.81,3260958.0,1265621376.0,sz.300033,2015-03-19,10.2111,126.7416,428.6733,21.8269,98.4412,363.1864,0.1084,0.1492,-0.0408,-0.0726,-0.0358
402.0,412.74,419.22,389.69,3067195.0,1247918336.0,sz.300033,2015-03-20,9.6044,131.8112,445.8202,22.7,102.3788,377.7139,-0.0312,0.0037,-0.0349,0.018500000000000003,0.0126
451.22,454.01,454.01,434.32,1664551.0,751036224.0,sz.300033,2015-03-23,5.2122,144.9897,492.1103,24.9695,112.0147,183.4306,0.1157,0.17859999999999998,-0.0629,-0.084,-0.0317
494.66,499.42,499.42,471.73,2571176.0,1268268928.0,sz.300033,2015-03-24,8.0512,159.4913,541.3302,27.4669,123.2182,201.77700000000002,0.0235,0.0372,-0.0137,-0.022400000000000003,-0.0011
