open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s
22225.37,22606.1,22701.28,21939.82,11795.0,263747824.0,sh.600601,2015-01-05,2.5576,104.2573,72.3191,2.3455,2.1539,-43.9696,0.0561,-0.006,0.062,-0.0338,-0.0223
22225.37,22510.92,22510.92,21797.04,14915.0,331192608.0,sh.600601,2015-01-06,3.2339,103.8184,72.0146,2.3356,2.1449,-43.7845,0.0175,0.0308,-0.0133,-0.051,0.0335
22368.14,22177.77,22415.73,21987.41,8671.0,192468608.0,sh.600601,2015-01-07,1.8801,102.2819,70.9488,2.3011,2.1131,-43.1365,-0.0842,-0.0727,-0.0116,-0.0167,0.1009
22082.59,22130.18,22320.55,21939.82,9191.0,203458992.0,sh.600601,2015-01-08,1.9929,102.0624,70.7966,2.2961,2.1086,-43.044,-0.0737,-0.13970000000000002,0.066,0.0115,0.0622
22130.18,22510.92,23129.61,22035.0,18813.0,427587776.0,sh.600601,2015-01-09,4.0793,103.8184,72.0146,2.3356,2.1449,-43.7845,0.1025,0.1048,-0.0023,-0.0239,-0.0786
22558.51,22796.47,22844.06,22320.55,11499.0,260137712.0,sh.600601,2015-01-12,2.4933,105.1353,72.9281,2.3652,2.1721,-44.3399,-0.0078,-0.0148,0.0071,0.0046,0.0031
22653.69,23748.3,24271.81,22558.51,24386.0,575310720.0,sh.600601,2015-01-13,5.2876,109.5251,75.9731,2.464,2.2628,-46.1913,0.0848,0.07730000000000001,0.0075,-0.002,-0.0827
23462.75,23224.79,23748.3,23082.02,12058.0,281127136.0,sh.600601,2015-01-14,2.6146,107.1107,74.2983,2.4097,2.2129,-45.173,-0.1089,-0.1033,-0.0055000000000000005,0.0286,0.0803
23177.2,23319.98,23700.71,23082.02,9262.0,216232688.0,sh.600601,2015-01-15,2.0082,107.5497,74.6028,2.4196,2.222,-45.3582,-0.0664,-0.0805,0.0141,0.0079,0.0585
23367.55,23748.28,23938.65,23082.0,16153.0,380692448.0,sh.600601,2015-01-16,3.5024,109.5251,75.9731,2.464,2.2628,-46.1913,0.1019,0.0481,0.0538,-0.0204,-0.0815
23129.59,22891.63,24366.98,22177.76,18105.0,423088320.0,sh.600601,2015-01-19,3.9257,105.5743,73.2326,2.3751,2.1811,-44.5251,-0.0117,0.0138,-0.0255,0.0042,0.0075
22939.22,24747.71,25080.85,22939.22,34266.0,835647552.0,sh.600601,2015-01-20,7.4299,114.1343,79.1704,2.5677,2.358,-48.1352,0.195,0.1772,0.0178,-0.0679,-0.1272
24747.71,24747.71,24890.49,24176.61,23333.0,572457088.0,sh.600601,2015-01-21,5.0593,114.1343,79.1704,2.5677,2.358,-48.1352,-0.1227,-0.13449999999999998,0.0117,0.078,0.044800000000000006
24652.53,24938.08,25176.04,24509.75,16236.0,403903872.0,sh.600601,2015-01-22,3.5205,115.0123,79.7794,2.5875,2.3761,-48.5055,0.06559999999999999,0.0613,0.0043,-0.008100000000000001,-0.0575
24842.89,24319.38,24985.67,24176.61,15611.0,382999392.0,sh.600601,2015-01-23,3.3848,112.1589,77.8001,2.5233,2.3172,-47.3021,-0.0866,-0.0793,-0.0072,0.0087,0.0779
24319.37,24842.88,24985.65,24271.78,15059.0,371873184.0,sh.600601,2015-01-26,3.2652,114.5733,79.4749,2.5776,2.3671,-48.3203,0.1159,0.1191,-0.0032,-0.0394,-0.0765
24842.88,24509.74,24938.06,24176.59,12873.0,315878176.0,sh.600601,2015-01-27,2.7912,113.0369,78.4091,2.543,2.3353,-47.6724,-0.1044,-0.0643,-0.0401,0.046,0.0584
24414.55,24509.74,25080.84,24319.37,13548.0,335215040.0,sh.600601,2015-01-28,2.9377,113.0369,78.4091,2.543,2.3353,-47.6724,-0.0075,-0.018500000000000003,0.011000000000000001,0.0317,-0.0241
24414.55,24129.0,24557.33,23938.64,10606.0,256805088.0,sh.600601,2015-01-29,2.2997,111.281,77.1911,2.5035,2.299,-46.9318,-0.1895,-0.1041,-0.08539999999999999,0.0721,0.1174
24604.92,24604.92,25413.98,24366.96,22745.0,566100416.0,sh.600601,2015-01-30,4.9317,113.4759,78.7136,2.5529,2.3444,-47.8575,0.0742,0.0404,0.0338,0.0054,-0.0796
24652.51,25223.61,25699.53,24414.55,24297.0,615168384.0,sh.600601,2015-02-02,5.2684,116.3292,80.6929,2.6171,2.4033,-49.0609,0.1006,0.0915,0.0091,-0.024,-0.0766
25509.16,25747.12,25937.49,24842.88,26487.0,675631232.0,sh.600601,2015-02-03,5.7433,118.7436,82.3676,2.6714,2.4532,-50.0791,0.09,0.0025,0.0876,-0.0177,-0.0723
25509.16,25223.61,25747.12,25080.84,15718.0,399451040.0,sh.600601,2015-02-04,3.4081,116.3292,80.6929,2.6171,2.4033,-49.0609,-0.1305,-0.1338,0.0033,0.0349,0.0956
25461.57,26080.26,27032.1,25033.24,37300.0,975996608.0,sh.600601,2015-02-05,8.0877,120.28,83.4334,2.7060000000000004,2.485,-50.7271,0.1417,0.0947,0.047,-0.0505,-0.0912
25889.9,25176.02,26223.04,24890.47,18541.0,473970144.0,sh.600601,2015-02-06,4.0202,116.1097,80.5406,2.6121,2.3988,-48.9683,-0.1449,-0.094,-0.051,0.049400000000000006,0.0955
24985.65,24366.96,25271.2,24129.0,14884.0,366487872.0,sh.600601,2015-02-09,3.2272,112.3784,77.9524,2.5282,2.3217,-47.3947,-0.2126,-0.1549,-0.0576,0.08220000000000001,0.1304
24366.96,24604.92,24700.1,24224.19,7524.0,184280976.0,sh.600601,2015-02-10,1.6315,113.4759,78.7136,2.5529,2.3444,-47.8575,-0.0023,0.0136,-0.0159,-0.0329,0.0352
24604.92,25318.8,25651.94,24604.92,13067.0,329786400.0,sh.600601,2015-02-11,2.8332,116.7682,80.9974,2.627,2.4124,-49.246,0.057999999999999996,0.0706,-0.0125,-0.0238,-0.0342
25461.59,25699.54,26080.28,25176.04,15468.0,398117792.0,sh.600601,2015-02-12,3.3538,118.5241,82.2154,2.6665,2.4487,-49.9865,0.085,0.0384,0.0466,-0.0122,-0.0727
25794.73,25747.14,26175.46,25509.18,16427.0,423662912.0,sh.600601,2015-02-13,3.5618,118.7436,82.3676,2.6714,2.4532,-50.0791,-0.0184,-0.0347,0.0163,0.0165,0.0019
25842.32,27365.26,27412.85,25604.36,27259.0,725136064.0,sh.600601,2015-02-16,5.9105,126.2062,87.5442,2.8393,2.6074,-53.2264,0.1704,0.1537,0.0167,-0.0536,-0.1168
27222.48,27174.89,27650.81,26794.16,21228.0,578804928.0,sh.600601,2015-02-17,4.6028,125.3283,86.9351,2.8195,2.5893,-52.8561,-0.0754,-0.0717,-0.0037,0.0451,0.0303
27270.07,28269.5,29792.44,27270.07,34624.0,993423680.0,sh.600601,2015-02-25,7.5075,130.3765,90.4369,2.9331,2.6936,-54.9852,-0.0397,-0.0673,0.0276,0.0389,0.0008
28269.5,28888.19,29268.93,28031.54,23272.0,668220544.0,sh.600601,2015-02-26,5.0461,133.2299,92.4162,2.9973,2.7525,-56.1886,-0.0248,0.0084,-0.0331,0.0142,0.0106
28888.19,29030.97,29364.11,28412.27,18394.0,532064224.0,sh.600601,2015-02-27,3.9883,133.8884,92.8729,3.0121,2.7661,-56.4663,-0.027999999999999997,-0.0242,-0.0038,0.0116,0.016399999999999998
29126.15,30173.17,30268.35,28793.01,23388.0,695663872.0,sh.600601,2015-03-02,5.0713,139.1561,96.5269,3.1306,2.8749,-58.6879,0.1023,0.0848,0.0174,-0.0248,-0.0775
30030.39,29887.62,31743.7,29649.66,32404.0,997175232.0,sh.600601,2015-03-03,7.0261,137.8392,95.6134,3.1010000000000004,2.8477,-58.1325,-0.0453,-0.034,-0.0113,0.017,0.0283
29697.25,29840.03,30268.35,29411.7,21381.0,636719360.0,sh.600601,2015-03-04,4.636,137.6197,95.4612,3.0961,2.8432,-58.0399,-0.0669,-0.0307,-0.0363,0.0145,0.0525
