open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s
1237.16,1239.48,1259.6,1206.99,3697040.0,4565387776.0,sz.000001,2015-01-05,2.9079,1575.8413,9.5183,1.4442,2.6337,12.7279,0.013000000000000001,0.0085,0.0044,-0.0016,-0.0114
1226.33,1220.91,1268.11,1203.12,2800043.0,3453446144.0,sz.000001,2015-01-06,2.2024,1552.2332,9.3757,1.4225,2.5942,12.5372,-0.0602,-0.0496,-0.0106,0.031400000000000004,0.0288
1203.89,1197.7,1224.78,1183.78,2197362.0,2634796288.0,sz.000001,2015-01-07,1.7283,1522.723,9.1974,1.3955,2.5449,12.2988,-0.1126,-0.1051,-0.0075,0.0553,0.0573
1199.25,1157.47,1204.67,1152.83,1819434.0,2128003456.0,sz.000001,2015-01-08,1.4311,1471.5721,8.8885,1.3486,2.4594,11.8857,-0.1576,-0.1624,0.0048,0.08109999999999999,0.0765
1152.83,1166.75,1227.88,1138.13,3242171.0,3835378176.0,sz.000001,2015-01-09,2.5501,1483.3762,8.9598,1.3594,2.4791,11.981,0.0177,0.0187,-0.0011,-0.0051,-0.0126
1150.51,1142.77,1164.43,1121.88,2007588.0,2293104640.0,sz.000001,2015-01-12,1.5791,1452.8824,8.7756,1.3315,2.4282,11.7347,-0.1166,-0.1104,-0.0063,0.0495,0.0672
1133.49,1135.81,1152.83,1130.39,1055789.0,1204987136.0,sz.000001,2015-01-13,0.8304,1444.0293,8.7221,1.3234,2.4134,11.6632,-0.08199999999999999,-0.0176,-0.0644,0.0441,0.0379
1143.54,1145.86,1176.04,1137.35,1632433.0,1889296640.0,sz.000001,2015-01-14,1.284,1456.8171,8.7993,1.3351,2.4347,11.7665,-0.0194,-0.0259,0.006500000000000001,0.0125,0.0068000000000000005
1148.96,1187.64,1187.64,1138.13,1605473.0,1868795904.0,sz.000001,2015-01-15,1.2628,1509.9353,9.1202,1.3838,2.5235,12.1956,0.1094,0.095,0.0144,-0.0502,-0.0592
1191.51,1189.19,1208.54,1174.49,2010891.0,2403346176.0,sz.000001,2015-01-16,1.5817,1511.9027,9.1321,1.3856,2.5268,12.2114,0.0031,0.0335,-0.0305,-0.0014000000000000002,-0.0016
1083.97,1070.04,1127.3,1070.04,2762177.0,3016203008.0,sz.000001,2015-01-19,2.1726,1360.4174,8.2171,1.2467,2.2736,10.9879,-0.2477,-0.2464,-0.0014000000000000002,0.1289,0.1188
