open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s
418.27,414.26,420.53,406.97,758822.0,312965632.0,sz.002007,2015-01-05,1.6504,190.4711,35.0327,5.835,15.5066,-1388.7682,-0.2068,-0.1092,-0.0976,0.0679,0.1389
414.13,435.73,441.63,407.98,1440829.0,617855488.0,sz.002007,2015-01-06,3.1337,200.34400000000002,36.8485,6.1374,16.3103,-1460.7535,0.0098,-0.0099,0.0197,0.0254,-0.0353
435.1,427.82,435.73,425.68,643553.0,276610560.0,sz.002007,2015-01-07,1.3997,196.7066,36.1795,6.026,16.0142,-1434.2325,-0.138,-0.1142,-0.0237,0.0702,0.0677
430.58,436.61,444.52,428.95,942296.0,413991424.0,sz.002007,2015-01-08,2.0494,200.7481,36.9229,6.1498,16.3432,-1463.7002,0.0356,0.037000000000000005,-0.0014000000000000002,-0.002,-0.0335
435.73,431.71,448.03,430.08,747921.0,329111104.0,sz.002007,2015-01-09,1.6267,198.4964,36.5087,6.0808,16.1599,-1447.2825,-0.0646,-0.0506,-0.013999999999999999,0.05690000000000001,0.0077
431.84,440.75,442.63,429.45,659575.0,289219552.0,sz.002007,2015-01-12,1.4345,202.6534,37.2733,6.2082,16.4983,-1477.592,0.077,0.0286,0.0484,-0.0209,-0.0562
439.5,450.42,451.3,439.12,836686.0,373180736.0,sz.002007,2015-01-13,1.8197,207.0991,38.091,6.3444,16.8603,-1510.0065,0.0605,0.0258,0.0347,-0.0216,-0.0388
449.54,445.52,457.07,440.75,639451.0,287049696.0,sz.002007,2015-01-14,1.3907,204.8474,37.6768,6.2754,16.677,-1493.5887,-0.0673,-0.0311,-0.0362,0.0124,0.0549
444.39,438.11,444.39,435.73,487507.0,213609536.0,sz.002007,2015-01-15,1.0603,201.4409,37.0503,6.171,16.3996,-1468.7518,-0.1908,-0.1578,-0.033,0.08529999999999999,0.1055
439.37,441.13,444.14,435.73,566099.0,249500880.0,sz.002007,2015-01-16,1.2312,202.8266,37.3052,6.2135,16.5124,-1478.855,-0.1171,-0.08449999999999999,-0.0326,0.07490000000000001,0.0422
437.61,435.35,458.33,429.45,1174651.0,524061216.0,sz.002007,2015-01-19,2.5547,200.1707,36.8167,6.1321,16.2962,-1459.4906,0.0289,0.0145,0.0143,-0.0233,-0.0055000000000000005
432.84,456.45,458.96,432.59,1062323.0,475990752.0,sz.002007,2015-01-20,2.3104,209.8704,38.6007,6.4292,17.0859,-1530.2129,0.1197,0.0935,0.0261,-0.0533,-0.0664
456.45,464.61,472.14,452.43,906069.0,421176992.0,sz.002007,2015-01-21,1.9706,213.6232,39.291,6.5442,17.3914,-1557.5757,0.08439999999999999,0.1199,-0.0355,-0.0587,-0.0256
465.86,464.61,475.16,462.35,718554.0,335453440.0,sz.002007,2015-01-22,1.5628,213.6232,39.291,6.5442,17.3914,-1557.5757,-0.06509999999999999,-0.0823,0.0172,0.07200000000000001,-0.0069
468.38,468.75,470.89,459.84,771867.0,359512192.0,sz.002007,2015-01-23,1.6787,215.5285,39.6414,6.6026,17.5465,-1571.4677,-0.0409,0.013500000000000002,-0.0543,0.0258,0.0151
470.89,469.0,473.27,465.86,536120.0,251646896.0,sz.002007,2015-01-26,1.166,215.644,39.6626,6.6061,17.5559,-1572.3096,-0.0603,-0.075,0.0147,0.0154,0.045
472.14,458.83,473.4,453.31,786625.0,362393184.0,sz.002007,2015-01-27,1.7108,210.9674,38.8025,6.4629,17.1752,-1538.2113,-0.1094,-0.0489,-0.0604,0.0348,0.0746
461.6,463.1,471.89,459.46,821974.0,383671776.0,sz.002007,2015-01-28,1.7877,212.9304,39.1635,6.523,17.335,-1552.524,-0.0319,0.0017,-0.0335,0.0144,0.0175
464.61,461.72,472.39,457.7,742530.0,345043904.0,sz.002007,2015-01-29,1.6149,212.2953,39.0467,6.5035,17.2833,-1547.8936,-0.1343,-0.0505,-0.0837,0.0753,0.059000000000000004
462.22,453.06,465.86,452.55,528422.0,241982352.0,sz.002007,2015-01-30,1.1493,208.3115,38.314,6.3815,16.959,-1518.8468,-0.0153,-0.0288,0.013500000000000002,-0.0249,0.04019999999999999
