open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s
544.66,563.41,569.36,537.68,905091.0,506160864.0,sh.600276,2015-01-05,0.8791,580.0935,40.7959,7.7738,8.1489,45.1365,0.0546,0.1358,-0.0812,-0.0621,0.0075
563.12,575.32,597.27,558.17,1202705.0,696173376.0,sh.600276,2015-01-06,1.1681,592.3627,41.6587,7.9382,8.3212,46.0912,0.0998,0.1039,-0.0041,-0.0639,-0.0359
574.74,569.51,579.68,562.1,489189.0,278883360.0,sh.600276,2015-01-07,0.4751,586.3778,41.2378,7.858,8.2372,45.6255,-0.0192,-0.0269,0.0077,-0.0286,0.0478
572.56,573.58,587.09,570.09,592960.0,343136800.0,sh.600276,2015-01-08,0.5759,590.5672,41.5324,7.9142,8.296,45.9515,0.0613,0.0366,0.024700000000000003,-0.0421,-0.0192
576.34,569.51,593.2,568.49,858207.0,499491520.0,sh.600276,2015-01-09,0.8335,586.3778,41.2378,7.858,8.2372,45.6255,-0.038,0.0779,-0.11599999999999999,0.0331,0.0049
567.18,584.19,587.53,559.48,605807.0,347745664.0,sh.600276,2015-01-12,0.5884,601.4898,42.3006,8.0605,8.4495,46.8014,0.0525,0.0756,-0.0231,-0.034300000000000004,-0.0182
581.43,584.77,598.43,581.43,470391.0,278651744.0,sh.600276,2015-01-13,0.4569,602.0883,42.3427,8.0686,8.4579,46.8479,0.0045000000000000005,0.0741,-0.0696,0.0213,-0.0258
584.19,569.07,590.0,568.35,419682.0,243495760.0,sh.600276,2015-01-14,0.4076,585.9289,41.2343,7.8408,8.2365,45.6216,-0.1358,-0.0358,-0.1,0.07139999999999999,0.0644
569.51,566.6,578.23,558.9,496543.0,280550112.0,sh.600276,2015-01-15,0.4823,583.3853,41.0553,7.8067,8.2007,45.4235,-0.1399,-0.0791,-0.0609,0.0492,0.0907
565.0,565.44,569.51,560.94,471167.0,265864256.0,sh.600276,2015-01-16,0.4576,582.1883,40.971000000000004,7.7907,8.1839,45.3303,-0.0502,-0.0394,-0.0108,-0.0085,0.05860000000000001
559.48,566.75,586.95,554.69,848644.0,485752480.0,sh.600276,2015-01-19,0.8242,583.5349,41.0658,7.8087,8.2028,45.4352,0.0133,0.0369,-0.0236,-0.0305,0.0172
561.66,572.42,576.92,560.21,643728.0,365788960.0,sh.600276,2015-01-20,0.6252,589.3702,41.4764,7.8868,8.2848,45.8895,0.0071,-0.0332,0.0403,0.0367,-0.0438
574.74,592.47,595.81,574.01,817171.0,481932320.0,sh.600276,2015-01-21,0.7937,610.0184,42.9295,8.1631,8.5751,47.4972,0.0181,0.0487,-0.0306,-0.0264,0.0083
592.91,609.91,618.77,592.91,1038572.0,635772736.0,sh.600276,2015-01-22,1.0087,627.9733,44.1931,8.4034,8.8275,48.8952,-0.0366,-0.0338,-0.0028000000000000004,-0.013500000000000002,0.0501
613.11,608.31,617.61,602.79,489546.0,297613280.0,sh.600276,2015-01-23,0.4755,626.3275,44.0773,8.3814,8.8044,48.7671,-0.1324,-0.0501,-0.0823,0.0454,0.087
608.6,616.74,623.42,608.16,601650.0,370417696.0,sh.600276,2015-01-26,0.5843,635.0057,44.688,8.4975,8.9263,49.4428,-0.0051,0.0827,-0.08779999999999999,-0.017,0.0221
615.87,612.38,624.88,607.15,472251.0,289659616.0,sh.600276,2015-01-27,0.4587,630.5169,44.3721,8.4374,8.8632,49.0933,-0.107,-0.0654,-0.0416,0.0133,0.0937
607.58,597.99,615.43,595.81,365609.0,220892336.0,sh.600276,2015-01-28,0.3551,615.7041,43.3297,8.2392,8.655,47.9399,-0.0849,-0.016399999999999998,-0.0684,0.0077,0.0771
593.63,592.76,600.17,585.64,387595.0,228272976.0,sh.600276,2015-01-29,0.3764,610.3176,42.9506,8.1671,8.5793,47.5205,-0.0181,-0.0132,-0.0049,0.0127,0.0054
595.38,591.6,601.33,584.19,302952.0,179212288.0,sh.600276,2015-01-30,0.2942,609.1207,42.8664,8.1511,8.5625,47.4273,0.0194,-0.0021,0.0215,-0.017,-0.0024
585.64,610.49,612.96,585.64,641061.0,387918016.0,sh.600276,2015-02-02,0.6226,628.5718,44.2352,8.4114,8.8359,48.9418,0.0636,0.0524,0.011200000000000002,-0.0219,-0.0417
