open,close,high,low,volume,amount,code,date,turn,circulating_market_cap,pe_ratio,pb_ratio,ps_ratio,pcf_ratio,net_pct_main,net_pct_xl,net_pct_l,net_pct_m,net_pct_s
420.66,418.62,422.05,400.27,1933662.0,798937536.0,sz.300024,2015-01-05,3.2721,247.3818,88.6451,14.1397,17.0615,-369.0624,-0.1361,-0.0737,-0.0624,0.0463,0.0898
415.93,442.33,443.08,413.14,2269843.0,975090048.0,sz.300024,2015-01-06,3.841,261.3965,93.667,14.9408,18.028,-389.9706,0.0442,0.0275,0.0167,-0.006500000000000001,-0.0377
442.22,431.17,446.41,429.78,1524994.0,663864320.0,sz.300024,2015-01-07,2.5806,254.8013,91.3038,14.5638,17.5732,-380.1315,-0.1119,-0.08929999999999999,-0.0226,0.0526,0.0593
428.17,430.85,442.01,425.05,1510137.0,656808576.0,sz.300024,2015-01-08,2.5554,254.6111,91.2356,14.5529,17.5601,-379.8477,0.024700000000000003,0.0155,0.0093,-0.0096,-0.0151
427.63,422.37,439.76,421.19,1504961.0,647663616.0,sz.300024,2015-01-09,2.5467,249.6013,89.4404,14.2666,17.2145,-372.3737,-0.0449,-0.0175,-0.0274,0.016,0.0289
420.01,424.41,430.85,416.9,1051100.0,444274016.0,sz.300024,2015-01-12,1.7787,250.8062,89.8722,14.3355,17.2976,-374.1712,0.0149,0.0328,-0.0178,-0.0176,0.0027
424.95,433.75,438.47,424.41,1375808.0,595405568.0,sz.300024,2015-01-13,2.3281,256.3233,91.8491,14.6508,17.6781,-382.4021,0.0156,0.0229,-0.0073,-0.0024,-0.0132
429.24,427.31,435.14,422.48,967592.0,413066944.0,sz.300024,2015-01-14,1.6373,252.5184,90.4857,14.4333,17.4157,-376.7256,-0.0925,-0.0515,-0.040999999999999995,-0.0064,0.0989
426.66,422.8,431.06,420.66,848701.0,360105600.0,sz.300024,2015-01-15,1.4362,249.855,89.5313,14.2811,17.232,-372.7521,-0.1187,-0.0496,-0.069,0.0381,0.0806
423.12,429.78,435.25,419.05,1142075.0,489504800.0,sz.300024,2015-01-16,1.9326,253.9769,91.0084,14.5167,17.5163,-378.9016,0.0979,0.1078,-0.0099,-0.0544,-0.0435
418.51,422.69,444.59,415.08,1996187.0,861334912.0,sz.300024,2015-01-19,3.3779,249.7915,89.5086,14.2775,17.2277,-372.6575,-0.0451,-0.0231,-0.022000000000000002,0.009000000000000001,0.0361
420.66,442.87,445.34,420.66,2170403.0,941410752.0,sz.300024,2015-01-20,3.6727,261.7136,93.7807,14.9589,18.0499,-390.4437,0.0858,0.0742,0.0117,-0.0455,-0.0403
